type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (London),11812.0,20510.0,18926.0,13868.0,8188.0,4786.0,2440.0,1011.0,88.0,
Councillors,57047.0,63944.0,60802.0,52868.0,47953.0,42903.0,38936.0,35240.0,33225.0,31903.0
Lords,8789.0,7494.0,7192.0,6461.0,5454.0,5079.0,4989.0,4190.0,4310.0,4563.0
MEP,56023.0,56518.0,53807.0,46351.0,40776.0,38036.0,37453.0,35060.0,35034.0,31183.0
MP,141045.0,143279.0,133750.0,122378.0,114610.0,107075.0,106408.0,104549.0,105334.0,105766.0
