gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,145759,87835,71461,66031,65146,65695,65369,57886,55469,60042
Male Representatives,216171,184057,163658,163230,167332,166021,168305,163010,167616,207034
