gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,47081,51269,59106,65781,66860,67671,62508,62769,61380,68696
Male Representatives,99264,108812,123530,133485,138249,148516,155212,164277,178370,192970
