gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,36306,41079,45092,49735,57557,62341,70213,75113,80518,95167
Male Representatives,83327,100949,115734,125794,139652,148034,159973,171581,186189,211452
