gender_of_sender,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Female Sender,10390,5259,3017,2274,2217,4320,11399,25795,47114,67844,78215,80205,80275,76846,74187,71142,70051,64410,59727,57665,55913,50481,36597,21098
Male Sender,17176,9339,5613,4179,4121,7165,16099,35356,63320,88066,102665,104933,100759,97132,93103,90727,90022,82859,74871,72303,68077,60156,46808,29380
