gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,8866,7241,7173,7513,6756,7500,8183,8933,10428,13109
Male Representatives,27229,18688,17709,19225,17665,18122,20697,20968,24287,29925
