gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,38777,41817,48020,54109,63743,68327,74223,69938,71507,82660
Male Representatives,90133,108174,120231,137554,143784,149091,161867,168108,169994,193749
