got_response,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
No,53995,56819,57587,45271,46774,61493,55453,32011,40108,59545,56609,40324
Yes,33951,35627,38038,35645,31673,42068,34484,23966,27863,33464,36356,26293
