gender_of_sender,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Female Sender,63883,64918,74781,67311,72670,68114,70290,68164,72779,86619,67657,66122,68941,144192
Male Sender,92413,98401,126430,99473,108417,101433,108070,85501,94030,98728,72478,80233,72584,126038
