gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,124021,92116,58521,49825,47954,46037,46889,46990,49983,50785
Male Representatives,175715,185594,145150,133244,129191,133106,135330,137852,138158,129345
