gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,1953,2197,2244,2404,2556,3258,3260,3324,3333,3997
Male Representatives,4715,4670,5200,5838,6317,6972,8924,8693,9396,9675
