type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (London),1339.0,10216.0,13547.0,12614.0,9698.0,9454.0,8337.0,7049.0,6358.0,3017.0
AM (Northern Ireland),2584.0,3827.0,6648.0,7722.0,9022.0,5312.0,,,,
AM (Wales),2122.0,2279.0,2442.0,3434.0,2972.0,4013.0,2419.0,2317.0,2442.0,410.0
Councillors,56015.0,60074.0,60670.0,59320.0,58441.0,56975.0,56306.0,55995.0,56244.0,59712.0
Lords,4193.0,5118.0,5753.0,6584.0,7032.0,7178.0,7812.0,7316.0,7538.0,7797.0
MEP,28179.0,34605.0,40893.0,46186.0,50666.0,54868.0,57367.0,55055.0,56374.0,62031.0
MP,84732.0,99480.0,110233.0,123342.0,133445.0,143188.0,147693.0,152115.0,155687.0,169000.0
MSP,6646.0,6169.0,5897.0,6735.0,9458.0,13832.0,15372.0,14205.0,14749.0,25276.0
