gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,147599,73311,56748,56353,51888,49596,46695,47537,42700,40694
Male Representatives,192889,154120,142540,140711,132791,131793,133876,138903,136162,138900
