gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,5918,5840,6957,6928,7570,8651,9926,9869,11219,12838
Male Representatives,14726,13892,15701,16920,19331,22337,24768,26327,28442,32097
