gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,1914,2019,2416,2417,2416,3289,3226,3165,3424,4234
Male Representatives,4041,5131,5280,5875,6068,8241,8175,8702,8303,10537
