year,No,Yes
2007,94277,80825
2008,104381,79449
2009,127387,101454
2010,108806,79374
2011,124135,79993
2012,123080,69401
2013,141248,59284
2014,118619,52790
2015,131938,55496
2016,136329,70968
2017,99407,58690
2018,114747,49049
2019,101519,57145
2020,183176,111499
