type_of_recipient,No,Yes
AM (London),2976,2204
AM (Northern Ireland),2496,1943
AM (Wales),2266,3566
Councillors,57041,59871
Lords,34289,10420
MEP,18695,13048
MP,414158,503026
MSP,10609,15195
