type_of_recipient,Female,Male
AM (London),31956,36262
AM (Northern Ireland),16439,15689
AM (Wales),9652,12720
Councillors,261895,255048
Lords,22657,36585
MEP,168437,263890
MP,496255,686034
MSP,49150,58001
