year,No,Yes
2007,42552,38273
2008,42659,36790
2009,56686,44768
2010,46831,32543
2011,47513,32480
2012,40709,28692
2013,40139,19145
2014,33253,19537
2015,36588,18908
2016,48000,22968
2017,38983,19707
2018,30046,19003
2019,37967,19178
2020,64063,47436
