gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,2329,2486,2302,2397,2887,2811,3444,3224,3411,3243
Male Representatives,5729,6488,5724,5277,6342,7471,8159,7953,8444,8828
