type_of_recipient,1,2,3,4,5,6,7,8,9,10
Councillors,6740.0,6719.0,7298.0,8359.0,7300.0,7756.0,8526.0,9256.0,10839.0,13258.0
Lords,510.0,404.0,312.0,299.0,370.0,275.0,423.0,404.0,360.0,552.0
MEP,5878.0,3396.0,3134.0,3383.0,2899.0,3330.0,3669.0,3864.0,4048.0,5353.0
MP,10171.0,7040.0,6506.0,6733.0,6382.0,6393.0,7206.0,7302.0,8383.0,9942.0
MSP,16487.0,10378.0,9378.0,10057.0,9361.0,9753.0,11121.0,11228.0,13576.0,16992.0
