gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,43287,53036,62225,64738,68163,64091,65999,62817,61595,67170
Male Representatives,94434,109119,126462,137601,146221,154699,156381,165891,170730,181147
