year,1,2,3,4,5,6,7,8,9,10
2007,935,947,1101,1159,1454,1437,1810,1887,2039,2125
2008,1211,1260,1298,1295,1765,1810,2069,2008,2154,2222
2009,1365,1738,1682,2045,2100,2503,2414,2709,2573,2851
2010,1372,1610,1586,1763,2187,2282,2618,2880,2708,3120
2011,1701,1584,1598,2020,2265,2512,2519,2786,2763,2854
2012,2056,1581,1451,1934,1996,2057,2267,2559,2843,2577
2013,1683,1643,1757,1976,1836,2224,2387,2626,2487,2741
2014,1285,1269,1568,1734,1543,2225,2288,2186,2608,2366
2015,1428,1609,1520,1976,2038,2527,2568,2956,2977,3049
2016,1250,1384,1510,1717,1702,2404,2459,2420,2929,3349
2017,1266,1742,1680,1795,1840,2273,2610,3016,3128,3403
2018,1343,1463,1516,1684,1662,2167,2624,2620,2284,2564
2019,1189,1430,1601,1805,2086,2939,3301,3757,3333,3464
2020,2732,3276,3451,4339,4575,5402,6599,7138,6685,7342
