year,1,2,3,4,5,6,7,8,9,10
2007,18244,18942,18129,16288,14640,13924,12837,12132,12528,12224
2008,19066,20378,18575,16477,15738,13980,13626,12308,11822,11839
2009,23716,24604,23249,21062,19151,17166,16668,15442,15540,15409
2010,19419,19879,19248,17107,14820,14019,13187,12046,12170,11937
2011,20511,21848,20674,18234,16819,15317,14842,14153,14181,14313
2012,18370,20618,19181,17614,15763,14106,13724,13036,13411,12468
2013,19968,19949,18978,17495,16211,15017,15270,15384,14580,13692
2014,17343,19487,18033,15427,13869,12489,11722,11468,11034,10203
2015,19653,21281,19672,16837,14719,13096,12654,12061,11177,11316
2016,23972,24403,22580,19142,16041,15014,14143,13409,13117,12597
2017,16630,17760,16368,14152,11981,10878,10279,10203,9787,9224
2018,16024,16917,16253,14376,13043,12382,12075,11045,11067,10661
2019,14617,15733,15422,13324,12235,10839,10582,9731,9854,10011
2020,27183,29946,28115,24391,21951,19652,18617,17632,17723,17521
