gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,48846,48653,48667,50028,52534,54007,59366,68357,80590,102073
Male Representatives,165688,139693,135057,131954,136167,132860,135444,143272,153021,169529
