gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,9556,9190,8622,10961,11900,13650,14401,16061,17658,22178
Male Sender,9803,10613,10679,13122,14689,15920,17000,18733,21712,26924
