year,1,2,3,4,5,6,7,8,9,10
2007,25283,19000,16559,16084,16361,16789,16313,15476,15478,17672
2008,27568,20799,18109,16934,16729,16524,16534,16311,15924,18344
2009,34009,26053,21563,21149,21193,21101,21195,20308,19854,22336
2010,28200,21105,18087,17120,17667,17198,17200,16310,16196,19049
2011,30022,22034,19044,18637,19186,18366,19335,17563,18326,21579
2012,26709,21924,18795,18449,18225,18098,18427,16637,16807,18379
2013,24299,21428,19145,18492,19491,19509,18852,18815,18897,21580
2014,26712,18781,15906,15636,15367,15529,15477,14987,15195,17809
2015,29081,21417,17619,16822,17021,17232,17018,15682,15804,19721
2016,33490,22344,18408,17850,18622,17742,18612,17602,18009,24558
2017,24955,17332,14527,14540,14219,14561,14071,13206,13329,16992
2018,22657,16914,14819,15414,14724,15267,15159,14353,14724,18715
2019,21496,17061,14238,14177,13723,14353,14511,13756,14028,19888
2020,48135,30835,25776,26304,26680,26555,27129,25120,25763,32352
