year,1,2,3,4,5,6,7,8,9,10
2007,9990,11181,12491,13306,15144,15554,17260,17204,17851,19907
2008,10657,11656,13114,13641,15035,16127,17079,17848,18330,20322
2009,12478,14421,15905,17787,19039,19903,21388,22531,22544,26011
2010,10012,11548,12642,14449,15324,15950,17449,17945,17563,20950
2011,11051,12686,14088,15985,17356,18035,19782,19818,19626,22465
2012,10933,12310,13323,14879,15819,16782,18064,17690,18328,20163
2013,11377,12750,14017,16491,16638,17153,18587,18940,19274,21317
2014,8547,10418,11500,13783,14597,15382,16246,16674,15836,18092
2015,8959,10968,12318,14473,16227,16172,17209,17540,18057,20543
2016,9654,11726,13653,16198,17984,18692,21747,20499,20537,23728
2017,7207,8814,9818,11920,12768,13634,15551,15168,14886,17496
2018,8419,9823,11031,12322,13753,14050,15545,15346,15488,18066
2019,7064,8530,9780,11069,12455,13327,14346,14214,14357,17206
2020,12020,14452,17197,20415,22861,24235,26733,26161,27459,31198
