year,1,2,3,4,5,6,7,8,9,10
2007,829,1028,1412,1089,1253,1380,1640,1946,1934,2381
2008,1018,1482,1382,1427,1522,1729,1749,1951,2058,2755
2009,1379,1711,1960,1828,2162,2034,2265,2491,2604,3537
2010,1384,1559,1569,2059,2060,2164,2356,2321,2822,3821
2011,1541,1782,1637,2147,2114,2150,2585,2227,2822,3590
2012,1700,1799,1631,2097,1844,1794,2257,2182,2480,3530
2013,1516,1561,1773,2130,1855,1871,2255,2467,2563,3344
2014,1064,1343,1493,1751,1723,1884,2122,2122,2615,2931
2015,1451,1374,1638,2098,1858,2159,2562,2508,3134,3844
2016,1229,1542,1378,1686,1807,1873,2327,2307,3123,3825
2017,1336,1532,1649,1812,1804,2038,2540,2696,3318,4014
2018,1367,1349,1506,1615,1867,2029,2336,2307,2419,3119
2019,977,1456,1603,1779,2206,2371,2976,3239,3375,4901
2020,2601,3105,3584,4022,4290,5156,5605,6322,7364,9470
