year,1,2,3,4,5,6,7,8,9,10
2007,9591,10527,11943,12620,14080,15392,16656,17588,19386,22105
2008,10137,11569,12169,13063,14535,15517,16335,17871,20007,22606
2009,12003,13765,15501,16498,17972,19563,21246,22439,24611,28409
2010,9417,10664,12352,13010,14708,15237,16997,18387,19709,23351
2011,10537,11989,13476,14971,16653,17724,18796,20164,21947,24635
2012,10662,12069,12947,14022,15426,16079,16831,18578,19828,21849
2013,10656,12144,13697,14993,16347,16745,18360,19779,20242,23581
2014,8126,9637,11208,12105,13827,14809,16244,16847,18191,20081
2015,8198,10296,12128,12920,14709,15890,16991,18297,19895,23142
2016,8506,10675,12764,14458,16756,17981,19612,22904,23494,27268
2017,6499,8367,9589,10740,12180,12658,14860,15601,17181,19587
2018,7481,9323,10338,11675,12893,14145,14782,16050,17428,19728
2019,6282,7718,9292,10350,11780,12669,13971,15078,16242,18966
2020,10261,13307,15979,19127,21504,23680,25884,27550,30572,34867
