year,1,2,3,4,5,6,7,8,9,10
2007,15560,16680,16437,16195,15774,15069,14344,14074,13108,12647
2008,15860,17197,17084,16928,16667,15899,14973,14208,12770,12223
2009,20684,20751,21376,20377,20123,19696,18954,17532,16603,15911
2010,16855,17136,16961,17553,15761,15559,14731,14128,13144,12004
2011,17631,18780,18761,18216,17563,17504,16988,15903,15239,14307
2012,16025,17094,18489,17247,16793,16280,15250,14325,13650,13138
2013,18786,18424,17599,17363,17586,16163,16343,15163,15220,13897
2014,15169,15425,15414,16257,15134,14585,13855,12591,12281,10364
2015,17197,17556,18005,17199,15888,15430,14620,12870,12408,11293
2016,21008,20995,20140,19593,18290,17283,16371,14794,13764,12180
2017,14406,14873,14351,14105,13671,12982,12439,11091,10339,9005
2018,14858,14897,14476,14389,13974,13235,13709,12258,11655,10392
2019,13304,13774,14086,13508,12535,12607,11495,10596,10627,9816
2020,22797,24343,25198,24648,24050,22935,22274,20085,19052,17349
