type_of_recipient,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
AM (London),15314,14326,14180,12833,10578,6707,7743
AM (Northern Ireland),5751,5868,6249,6571,5458,2473,2795
AM (Wales),3868,4425,4073,4038,3717,2401,2340
Councillors,95688,99371,99561,95607,83812,50649,56096
Lords,10912,11147,10406,9986,9581,7105,7649
MEP,77725,80363,77437,81408,73868,45722,50038
MP,203438,243100,229140,210582,194185,113565,126169
MSP,19863,20471,20376,20059,17053,9917,10709
