gender_of_rep,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Female Representatives,61475,62585,68176,58187,51698,82794,67759,42660,55961,69516,67594,53323
Male Representatives,150642,154601,165965,148861,129685,175583,157686,100912,131540,166219,158939,127797
