type_of_recipient,1,2,3,4,5,6,7,8,9,10
Councillors,16793.0,9575.0,7711.0,7332.0,6792.0,6584.0,7436.0,7465.0,7825.0,8544.0
Lords,785.0,262.0,283.0,280.0,277.0,292.0,360.0,417.0,444.0,511.0
MEP,6964.0,3545.0,2764.0,2955.0,3476.0,3241.0,3922.0,4091.0,3853.0,4149.0
MP,11254.0,6092.0,5506.0,6276.0,6441.0,7055.0,7904.0,8360.0,8338.0,8850.0
MSP,20606.0,10277.0,8460.0,9343.0,10007.0,10010.0,11626.0,12349.0,13036.0,12625.0
