gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,103175,102409,101293,96079,85763,78963,74314,71864,71512,67610
Male Sender,129432,127871,129868,123154,112516,104096,100827,99043,97021,95425
