type_of_recipient,Urban,Rural,More Rural
AM (London),81595,14,72
AM (Northern Ireland),22076,4005,9084
AM (Wales),15969,3670,5223
Councillors,508656,36182,35946
Lords,53788,5831,7167
MEP,385235,43979,57347
MP,1048141,130191,141847
MSP,83893,11093,23462
