first_use,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
No,42552,42659,56686,46831,47513,40709,40139,33253,36588,48000,38983,30046,37967,64063
Yes,38273,36790,44768,32543,32480,28692,19145,19537,18908,22968,19707,19003,19178,47436
