gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,16849,8087,6588,6767,7312,6917,7600,8125,8666,8805
Male Representatives,36243,19789,16470,17503,17540,18297,21043,22183,22239,23234
