year,1,2,3,4,5,6,7,8,9,10
2007,1535,1135,1711,1513,1454,1353,1557,1513,1708,1415
2008,2016,1457,1793,1562,1687,1601,1834,1852,1602,1688
2009,2342,1996,2155,2164,2466,2289,2133,2156,2239,2040
2010,2206,2087,2278,2143,2233,2526,2365,2109,2274,1905
2011,2310,2136,2254,2279,2416,2459,2353,2050,2316,2029
2012,2676,1970,2138,2061,2208,2116,2094,2187,2154,1717
2013,1974,1996,2443,2103,2284,2485,1962,2042,2216,1855
2014,2090,1498,1995,1829,1892,2127,1984,1866,1904,1887
2015,2265,1928,2283,2238,2175,2452,2238,2329,2511,2229
2016,2205,1875,2059,1796,2101,1955,2094,2108,2593,2338
2017,2006,1844,2124,2229,2541,2374,2182,2638,2455,2360
2018,1907,1815,1786,2095,1948,1784,1906,2069,2339,2278
2019,1915,2295,2380,2308,2432,2660,2453,2648,3073,2741
2020,4740,4926,4646,5092,5096,5617,5357,5361,5736,4968
