"id","service"
"244,944",iPhone
"256,256",iPhone
"256,322",iPhone
"90,716",iPhone
"264,633",Android phone
"258,837",iPhone
"256,366",iPhone
"256,337",StreetReport_iPhone
"264,622",Android phone
"514,923",iOS
"244,958",StreetReport_iPhone
"256,361",StreetReport_iPhone
"255,347",iPhone
"256,359",iPhone
"256,365",iPhone
"256,379",iPhone
"256,367",iPhone
"256,369",iPhone
"256,368",iPhone
"256,372",iPhone
"700,170",Android
"269,108",iPhone
"256,599",iPhone
"256,410",iPhone
"256,414",iPhone
"256,413",iPhone
"256,412",iPhone
"256,416",iPhone
"256,415",iPhone
"256,417",iPhone
"256,408",Android phone
"256,455",StreetReport_iPhone
"256,456",iPhone
"271,042",Android phone
"256,334",Android phone
"256,503",iPhone
"256,519",iPhone
"269,324",StreetReport_iPhone
"924,709",iOS
"269,320",iPhone
"256,564",Android phone
"269,321",iPhone
"256,553",iPhone
"269,340",Android phone
"256,432",StreetReport_iPhone
"256,363",iPhone
"251,010",iPhone
"256,192",iPhone
"256,578",iPhone
"269,339",Android phone
"256,626",iPhone
"251,009",StreetReport_iPhone
"256,605",iPhone
"250,985",Android phone
"256,397",iPhone
"256,395",iPhone
"246,440",iPhone
"256,649",Android phone
"269,160",Android phone
"256,650",Android phone
"244,949",StreetReport_iPhone
"256,692",Android phone
"256,420",iPhone
"269,379",Android phone
"248,613",iPhone
"244,946",StreetReport_iPhone
"256,697",StreetReport_iPhone
"256,700",StreetReport_iPhone
"250,893",Android phone
"256,682",Android phone
"256,381",iPhone
"251,208",Android phone
"256,824",Android phone
"269,421",iPhone
"194,010",StreetReport_iPhone
"255,966",iPhone
"256,827",Android phone
"244,874",Android phone
"260,940",Android phone
"256,896",iPhone
"256,898",Android phone
"245,080",iPhone
"269,428",iPhone
"256,952",Android phone
"265,142",StreetReport_iPhone
"240,392",iPhone
"188,912",iPhone
"257,014",Android phone
"269,429",iPhone
"269,611",iPhone
"257,077",Android phone
"274,734",iPhone
"257,090",Android phone
"256,982",Android phone
"256,981",Android phone
"256,980",Android phone
"271,575",iPhone
"251,499",iPhone
"257,156",Android phone
"257,227",StreetReport_iPhone
"257,188",iPhone
"265,124",iPhone
"257,247",StreetReport_iPhone
"257,246",Android phone
"257,265",iPhone
"980,826",iOS
"269,326",iPhone
"257,319",Android phone
"257,318",Android phone
"257,207",iPhone
"257,587",StreetReport_iPhone
"257,375",StreetReport_iPhone
"257,414",iPhone
"257,406",iPhone
"257,430",iPhone
"251,743",StreetReport_iPhone
"252,920",Android phone
"251,754",StreetReport_iPhone
"156,077",Fixmytweet
"255,370",iPhone
"257,562",iPhone
"257,567",iPhone
"257,469",iPhone
"271,546",iPhone
"271,548",iPhone
"270,474",iPhone
"251,926",StreetReport_iPhone
"257,960",iPhone
"251,930",Android phone
"251,730",iPhone
"251,634",iPhone
"258,273",Android phone
"258,599",StreetReport_iPhone
"257,230",Android phone
"257,847",iPhone
"257,850",iPhone
"195,628",Android phone
"240,898",StreetReport_iPhone
"257,910",StreetReport_iPhone
"257,911",iPhone
"257,787",iPhone
"270,254",Android phone
"269,631",Android phone
"266,574",StreetReport_iPhone
"194,075",Android phone
"193,238",iPhone
"253,499",Android phone
"258,061",StreetReport_iPhone
"258,068",iPhone
"260,852",iPhone
"270,654",iPhone
"265,174",Android phone
"269,667",iPhone
"190,954",StreetReport_iPhone
"258,114",StreetReport_iPhone
"481,449",iOS
"258,095",iPhone
"258,142",iPhone
"258,287",iPhone
"258,099",iPhone
"258,156",iPhone
"258,220",StreetReport_iPhone
"263,166",StreetReport_iPhone
"258,081",iPhone
"256,539",iPhone
"258,206",Android phone
"258,205",Android phone
"252,258",iPhone
"269,688",iPhone
"258,201",iPhone
"269,700",StreetReport_iPhone
"258,271",Android phone
"258,278",iPhone
"459,657",Android
"258,249",iPhone
"258,259",StreetReport_iPhone
"258,283",iPhone
"55,937",iPhone
"258,280",iPhone
"258,293",iPhone
"258,299",iPhone
"468,682",Android
"258,431",iPhone
"258,296",StreetReport_iPhone
"258,334",iPhone
"256,328",Android phone
"456,339",Android
"191,134",StreetReport_iPhone
"258,314",Android phone
"258,315",Android phone
"258,320",Android phone
"258,317",Android phone
"712,001",Android
"265,201",Android phone
"246,396",Android phone
"263,274",Android phone
"263,281",Android phone
"263,289",Android phone
"265,221",Android phone
"246,429",iPhone
"269,808",Android phone
"269,774",iPhone
"269,784",iPhone
"269,778",iPhone
"269,782",iPhone
"258,427",iPhone
"258,433",Android phone
"252,176",Android phone
"257,184",iPhone
"258,473",Android phone
"270,072",Android phone
"246,516",iPhone
"263,380",iPhone
"266,364",Android phone
"252,154",Android phone
"269,809",StreetReport_iPhone
"257,575",Android phone
"256,327",Android phone
"269,771",iPhone
"271,145",iPhone
"269,861",iPhone
"263,448",StreetReport_iPhone
"263,442",StreetReport_iPhone
"459,472",Android
"263,510",iPhone
"263,457",iPhone
"881,826",iOS
"268,648",Android phone
"263,511",iPhone
"263,522",iPhone
"269,819",iPhone
"269,818",iPhone
"269,820",iPhone
"269,822",iPhone
"269,941",StreetReport_iPhone
"258,582",Android phone
"263,535",iPhone
"263,554",iPhone
"661,407",iOS
"192,695",iPhone
"194,365",Android phone
"269,992",Android phone
"263,614",iPhone
"265,272",iPhone
"256,580",iPhone
"194,379",StreetReport_iPhone
"270,021",Android phone
"263,584",iPhone
"263,585",iPhone
"263,588",iPhone
"459,490",Android
"258,485",iPhone
"270,050",Android phone
"263,714",iPhone
"263,733",iPhone
"263,729",iPhone
"193,840",Android phone
"271,479",iPhone
"271,482",iPhone
"270,090",Android phone
"263,787",iPhone
"263,747",Android phone
"258,514",iPhone
"270,110",iPhone
"258,084",iPhone
"272,702",iPhone
"270,171",iPhone
"270,172",iPhone
"194,382",Android phone
"263,919",iPhone
"270,187",iPhone
"270,192",iPhone
"263,880",iPhone
"263,937",Android phone
"260,005",StreetReport_iPhone
"263,989",Android phone
"270,260",iPhone
"207,356",iPhone
"207,371",iPhone
"258,120",iPhone
"270,258",Android phone
"270,255",iPhone
"252,669",iPhone
"261,701",iPhone
"194,956",iPhone
"271,306",iPhone
"264,057",iPhone
"270,154",iPhone
"258,669",iPhone
"980,822",Android
"257,550",iPhone
"156,139",Fixmytweet
"245,426",StreetReport_iPhone
"270,321",iPhone
"264,121",Android phone
"264,126",iPhone
"264,159",StreetReport_iPhone
"271,305",iPhone
"270,414",iPhone
"270,415",iPhone
"270,416",iPhone
"270,419",iPhone
"271,317",iPhone
"264,175",Android phone
"195,874",Android phone
"263,872",iPhone
"270,270",Android phone
"264,277",StreetReport_iPhone
"271,286",iPhone
"264,134",StreetReport_iPhone
"270,488",Android phone
"264,307",Android phone
"264,305",Android phone
"264,300",Android phone
"264,294",Android phone
"264,251",Android phone
"271,527",iPhone
"270,513",iPhone
"192,815",Android phone
"270,510",StreetReport_iPhone
"264,283",StreetReport_iPhone
"270,561",Android phone
"270,614",Android phone
"270,613",iPhone
"483,657",iOS
"265,446",StreetReport_iPhone
"270,685",Android phone
"270,635",iPhone
"270,616",Android phone
"156,275",Fixmytweet
"264,475",StreetReport_iPhone
"264,664",iPhone
"192,894",iPhone
"459,497",iOS
"270,480",StreetReport_iPhone
"267,276",iPhone
"259,734",iPhone
"648,501",iOS
"270,711",iPhone
"240,493",iPhone
"259,284",Android phone
"260,265",Android phone
"448,658",iOS
"260,060",Android phone
"266,776",iPhone
"980,851",iOS
"270,600",iPhone
"270,742",iPhone
"448,654",iOS
"272,221",iPhone
"468,485",Android
"267,494",Android phone
"267,463",iPhone
"260,367",iPhone
"267,279",iPhone
"267,512",iPhone
"267,006",Android phone
"267,052",Android phone
"267,066",Android phone
"267,057",Android phone
"266,998",Android phone
"267,054",Android phone
"267,058",Android phone
"267,061",Android phone
"267,493",Android phone
"267,492",Android phone
"260,301",iPhone
"262,732",Android phone
"263,788",iPhone
"249,810",iPhone
"263,675",iPhone
"263,790",iPhone
"253,963",iPhone
"261,292",StreetReport_iPhone
"261,524",iPhone
