year,strongly disagree,disagree,agree,strongly agree,don't want to answer
2012,77,242,558,145,130
2013,71,236,462,116,107
2014,45,128,356,115,75
2015,82,156,395,139,97
2016,85,152,415,133,102
2017,86,128,434,136,96
2018,67,138,362,136,108
2019,72,104,314,79,88
2020,64,115,296,92,85
