year,No,Yes,Don’t want to answer,Did not receive a response
2012,385,261,51,455
2013,354,185,33,420
2014,258,160,27,274
2015,331,152,43,343
2016,326,186,40,335
2017,320,163,38,359
2018,282,174,30,325
2019,240,123,28,266
2020,213,123,18,298
