previous_foi_use,Male,Female,Don’t want to answer
Never made a request before I used this site,3437,1546,226
Made request(s) before using offline means ,308,128,30
Made request(s) before using the Internet ,881,324,72
Made request(s) before using both online and offline means,308,118,24
Don’t want to answer,40,12,24
