messageconcern,British,Bangladeshi,Other Asian,Caribbean,African,Other Black,Chinese,Any other ethnic group,Irish,English,Welsh,Scottish,Other white,White and Black Caribbean,White and Black African,White and Asian,Other Mixed,Indian,Pakistani,Don’t want to answer,Don’t know
Only yourself or your family,347.0,10.0,17.0,5.0,20.0,1.0,8.0,12.0,15.0,196.0,24.0,34.0,50.0,3.0,7.0,4.0,3.0,41.0,19.0,64.0,8.0
"Only other people, but not yourself or your family",94.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,30.0,3.0,12.0,15.0,1.0,,5.0,2.0,1.0,,12.0,1.0
"Yourself or your family, as well as others like you",589.0,7.0,19.0,9.0,29.0,,10.0,13.0,27.0,251.0,40.0,59.0,117.0,3.0,10.0,8.0,8.0,62.0,24.0,90.0,6.0
All people in the community,1522.0,7.0,11.0,18.0,22.0,3.0,10.0,22.0,78.0,640.0,96.0,144.0,167.0,12.0,6.0,15.0,25.0,44.0,26.0,279.0,6.0
All people in the nation or all people in the world,443.0,3.0,18.0,6.0,9.0,3.0,10.0,11.0,22.0,211.0,24.0,59.0,74.0,,2.0,4.0,7.0,27.0,6.0,83.0,4.0
Don’t know,96.0,1.0,5.0,2.0,3.0,,1.0,4.0,5.0,42.0,5.0,11.0,17.0,,1.0,1.0,1.0,15.0,6.0,34.0,
Don’t want to answer,35.0,,1.0,,3.0,,1.0,2.0,1.0,14.0,3.0,1.0,5.0,,,,,3.0,3.0,26.0,
