authority_type,No,Yes,Don’t want to answer
Central Government,1085,255,98
Local and regional,2221,502,291
Education,539,56,36
Environment,92,14,10
Health,357,134,53
Media and Culture,66,15,6
Military and Security Services,253,45,23
Emergency services and the courts,203,71,31
Transport,330,53,35
Don’t want to answer,23,7,19
Other,412,106,60
