messageconcern,Less than 18 years old,18-24 years old,25-34 years old,35-44 years old,45-54 years old,55-64 years old,65-74 years old,75 years and older,Don’t want to answer
Only yourself or your family,18,48,131,141,171,184,143,50,37
"Only other people, but not yourself or your family",1,16,28,30,41,36,21,11,8
"Yourself or your family, as well as others like you",65,70,198,240,320,280,173,36,34
All people in the community,30,118,325,483,730,757,568,114,140
All people in the nation or all people in the world,21,60,147,188,225,214,119,25,49
Don’t know,13,28,59,54,48,21,11,1,22
Don’t want to answer,2,5,23,14,16,10,8,1,21
