year,British,Bangladeshi,Other Asian,Caribbean,African,Other Black,Chinese,Any other ethnic group,Irish,English,Welsh,Scottish,Other white,White and Black Caribbean,White and Black African,White and Asian,Other Mixed,Indian,Pakistani,Don’t want to answer,Don’t know
2012,474.0,3.0,5.0,7.0,11.0,2.0,4.0,7.0,25.0,229.0,37.0,53.0,62.0,1.0,2.0,5.0,5.0,33.0,11.0,118.0,2.0
2013,387.0,2.0,7.0,6.0,14.0,,7.0,8.0,22.0,217.0,33.0,44.0,39.0,3.0,2.0,5.0,6.0,25.0,11.0,79.0,2.0
2014,318.0,2.0,4.0,3.0,9.0,,1.0,4.0,15.0,144.0,21.0,27.0,53.0,2.0,2.0,3.0,5.0,16.0,4.0,46.0,1.0
2015,337.0,5.0,15.0,4.0,8.0,,3.0,12.0,15.0,176.0,16.0,28.0,48.0,4.0,2.0,3.0,8.0,30.0,13.0,78.0,3.0
2016,358.0,7.0,4.0,9.0,15.0,,2.0,9.0,17.0,150.0,19.0,45.0,49.0,3.0,3.0,5.0,6.0,23.0,18.0,72.0,2.0
2017,368.0,1.0,11.0,6.0,11.0,1.0,6.0,4.0,21.0,156.0,19.0,43.0,54.0,3.0,3.0,4.0,5.0,13.0,12.0,71.0,7.0
2018,356.0,4.0,7.0,3.0,14.0,4.0,5.0,9.0,16.0,132.0,24.0,31.0,48.0,2.0,4.0,5.0,3.0,27.0,11.0,51.0,5.0
2019,299.0,1.0,8.0,2.0,5.0,,6.0,7.0,8.0,104.0,17.0,21.0,58.0,1.0,2.0,2.0,4.0,10.0,5.0,41.0,2.0
2020,276.0,4.0,11.0,3.0,3.0,1.0,9.0,5.0,13.0,100.0,17.0,35.0,39.0,,6.0,6.0,5.0,19.0,1.0,44.0,1.0
