messageconcern,strongly disagree,disagree,agree,strongly agree,don't want to answer
Only yourself or your family,94,164,429,151,112
"Only other people, but not yourself or your family",14,28,94,33,28
"Yourself or your family, as well as others like you",101,276,695,217,161
All people in the community,222,636,1628,465,407
All people in the nation or all people in the world,84,188,509,165,123
Don’t know,27,58,124,38,24
Don’t want to answer,20,23,37,12,17
