messageconcern,Bad,Poor,Fair,Good,Excellent,Don’t want to answer,Don’t know/can't say
Only yourself or your family,2.0,32.0,151.0,323.0,417.0,1.0,3.0
"Only other people, but not yourself or your family",,3.0,22.0,71.0,96.0,,
"Yourself or your family, as well as others like you",3.0,26.0,188.0,507.0,691.0,3.0,1.0
All people in the community,8.0,66.0,470.0,1190.0,1546.0,6.0,4.0
All people in the nation or all people in the world,,19.0,117.0,353.0,561.0,4.0,
Don’t know,,1.0,16.0,88.0,152.0,,2.0
Don’t want to answer,,1.0,9.0,29.0,49.0,12.0,2.0
