authority_type,No,Yes,Don’t want to answer,Did not receive a response
Central Government,461,299,32,646
Local and regional,892,826,86,1210
Education,160,177,26,268
Environment,36,31,5,44
Health,171,146,17,210
Media and Culture,36,15,3,33
Military and Security Services,85,106,9,121
Emergency services and the courts,70,73,15,147
Transport,100,149,14,155
Don’t want to answer,10,11,11,17
Other,215,133,10,220
