previous_foi_use,No,Yes,Don’t want to answer,Did not receive a response
Never made a request before I used this site,1462,1451,148,2148
Made request(s) before using offline means ,167,97,17,185
Made request(s) before using the Internet ,413,302,37,525
Made request(s) before using both online and offline means,142,109,7,192
Don’t want to answer,29,9,19,19
