year,strongly disagree,disagree,agree,strongly agree,don't want to answer
2012,55,61,535,482,19
2013,40,58,497,386,11
2014,35,32,318,324,10
2015,56,51,413,332,17
2016,68,42,412,343,22
2017,61,58,375,364,22
2018,58,55,351,324,23
2019,55,49,261,272,20
2020,57,46,289,243,17
