previous_foi_use,None of the above,A community group ,A political group ,Both community as well as political group,Don’t want to answer
Never made a request before I used this site,3025,1293,330,374,187
Made request(s) before using offline means ,219,118,48,64,17
Made request(s) before using the Internet ,591,397,97,151,41
Made request(s) before using both online and offline means,190,124,39,76,21
Don’t want to answer,34,9,3,2,28
