year,Bad,Poor,Fair,Good,Excellent,Don’t want to answer,Don’t know/can't say
2012,1.0,18.0,125.0,382.0,591.0,5.0,2.0
2013,,16.0,134.0,334.0,472.0,3.0,2.0
2014,1.0,7.0,87.0,251.0,353.0,1.0,
2015,4.0,22.0,127.0,273.0,406.0,2.0,1.0
2016,1.0,19.0,135.0,315.0,380.0,3.0,2.0
2017,1.0,11.0,122.0,303.0,410.0,4.0,2.0
2018,3.0,17.0,105.0,280.0,377.0,2.0,3.0
2019,1.0,20.0,90.0,243.0,279.0,6.0,
2020,2.0,21.0,82.0,218.0,301.0,,
