authority_type,No,Yes,Don’t want to answer
Central Government,839,562,37
Local and regional,1626,1309,79
Education,345,263,23
Environment,60,54,2
Health,286,242,16
Media and Culture,48,35,4
Military and Security Services,160,152,9
Emergency services and the courts,172,118,15
Transport,203,204,11
Don’t want to answer,18,20,11
Other,294,271,13
