authority_type,strongly disagree,disagree,agree,strongly agree,don't want to answer
Central Government,90,43,508,717,80
Local and regional,200,44,1089,1556,125
Education,36,14,210,341,30
Environment,7,1,48,55,5
Health,28,16,191,275,34
Media and Culture,2,2,30,45,8
Military and Security Services,22,5,142,130,22
Emergency services and the courts,15,4,99,172,15
Transport,31,12,140,211,24
Don’t want to answer,4,4,23,8,10
Other,53,21,211,243,50
