messageconcern,No,Yes,Don’t want to answer,Did not receive a response
Only yourself or your family,377,210,33,330
"Only other people, but not yourself or your family",67,41,10,79
"Yourself or your family, as well as others like you",494,286,65,605
All people in the community,1160,664,112,1422
All people in the nation or all people in the world,335,230,38,466
Don’t know,106,51,20,94
Don’t want to answer,41,15,25,28
