authority_type,2012,2013,2014,2015,2016,2017,2018,2019,2020
Central Government,235,208,127,168,143,174,165,103,115
Local and regional,523,430,300,339,342,320,297,242,221
Education,61,59,52,80,75,74,68,82,80
Environment,11,13,7,12,14,14,14,15,16
Health,96,71,54,64,62,52,45,43,57
Media and Culture,17,10,13,11,10,9,10,4,3
Military and Security Services,20,27,27,36,55,59,41,30,26
Emergency services and the courts,51,38,29,34,27,25,37,32,32
Transport,42,48,44,51,46,60,45,38,44
Don’t want to answer,8,2,4,3,10,6,6,6,4
Other,76,74,53,55,85,73,70,50,42
