previous_foi_use,No,Yes,Don’t want to answer
Never made a request before I used this site,1031,3824,354
Made request(s) before using offline means ,62,379,25
Made request(s) before using the Internet ,197,1012,68
Made request(s) before using both online and offline means,58,375,17
Don’t want to answer,11,31,34
