previous_foi_use,strongly disagree,disagree,agree,strongly agree,don't want to answer
Never made a request before I used this site,388,962,2526,755,578
Made request(s) before using offline means ,33,74,224,79,56
Made request(s) before using the Internet ,86,249,590,186,166
Made request(s) before using both online and offline means,28,93,208,58,63
Don’t want to answer,14,12,23,7,20
