previous_foi_use,Less than 18 years old,18-24 years old,25-34 years old,35-44 years old,45-54 years old,55-64 years old,65-74 years old,75 years and older,Don’t want to answer
Never made a request before I used this site,128,279,693,819,1055,1016,728,166,195
Made request(s) before using offline means ,3,3,34,77,124,108,64,15,24
Made request(s) before using the Internet ,19,50,142,188,276,287,187,42,54
Made request(s) before using both online and offline means,1,10,38,70,106,99,76,21,20
Don’t want to answer,1,5,7,10,12,6,2,1,24
