previous_foi_use,Only yourself or your family,"Only other people, but not yourself or your family","Yourself or your family, as well as others like you",All people in the community,All people in the nation or all people in the world,Don’t know,Don’t want to answer
Never made a request before I used this site,754.0,131.0,1080.0,2207.0,668.0,197.0,64.0
Made request(s) before using offline means ,50.0,16.0,81.0,228.0,76.0,4.0,4.0
Made request(s) before using the Internet ,97.0,32.0,200.0,656.0,214.0,47.0,16.0
Made request(s) before using both online and offline means,30.0,16.0,73.0,212.0,94.0,11.0,6.0
Don’t want to answer,10.0,,10.0,24.0,6.0,6.0,17.0
