authority_type,strongly disagree,disagree,agree,strongly agree,don't want to answer
Central Government,78,89,674,568,29
Local and regional,164,145,1365,1297,43
Education,37,35,277,272,10
Environment,4,5,54,48,5
Health,25,36,245,226,12
Media and Culture,3,8,38,35,3
Military and Security Services,18,19,167,105,12
Emergency services and the courts,14,18,124,146,3
Transport,20,31,201,154,12
Don’t want to answer,5,6,22,7,9
Other,40,57,263,196,22
