previous_foi_use,From another mySociety site,"From media such as newspapers, etc",From a search engine ,Recommendation by friends or colleagues,From a campaigning website,Other,Don’t want to answer,Can't remember
Never made a request before I used this site,129.0,119.0,2643.0,1221.0,242.0,263.0,17.0,557.0
Made request(s) before using offline means ,13.0,12.0,197.0,118.0,25.0,26.0,4.0,71.0
Made request(s) before using the Internet ,40.0,31.0,517.0,310.0,68.0,67.0,7.0,235.0
Made request(s) before using both online and offline means,25.0,10.0,139.0,108.0,32.0,39.0,4.0,89.0
Don’t want to answer,4.0,2.0,27.0,9.0,2.0,7.0,8.0,16.0
